rnum,bizId,polyBizSecd,polyBizTy,polyBizSjnm,polyItcnCn,sporCn,sporScvl,bizPrdCn,prdRpttSecd,rqutPrdCn,ageInfo,majrRqisCn,empmSttsCn,splzRlmRqisCn,accrRqisCn,prcpCn,aditRscn,prcpLmttTrgtCn,rqutProcCn,pstnPaprCn,jdgnPresCn,rqutUrla,rfcSiteUrla1,rfcSiteUrla2,mngtMson,mngtMrofCherCn,cherCtpcCn,cnsgNmor,tintCherCn,tintCherCtpcCn,etct,polyRlmCd
1,R2024070424704,003002005004,지자체,청년 로컬디저트 메뉴개발 컨설팅,청년창업가의 창업 경쟁력을 높이기 위해 로컬을 활용한 디저트 메뉴개발을 지원,"□ 로컬 디저트 메뉴 개발(시크니처 메뉴)지원
- 메뉴개발컨설팅, 실습공간·식재료지원, 시식회, 정책연계 등
□ 교육기간 : 2024. 7월 ~ 10월(4개월)
□ 교육장소 : 청년 로컬크리에이터 라운지(북구 행복어울림센터 1층)
※ 북구 행복어울림센터 : 북구 용봉로 105(용봉동), 전남대 정문에서 북구청 사이
□ 지원분야
❍ 로컬일반 : 로컬재료활용, 지역문화·디자인 접목 등
❍ 북구특성화 : 북구도시브랜드(부끄부부)활용
□ 후속지원
❍ 시제품 매장 판매실습
❍ 창업 지원정책 연계",4개팀 (개인 또는 팀),null,002004,"2024-06-25~2024-07-07
2024년 6월 25일(화) ~ 2024년 7월 7일(일) (13일간)",만 19세 ~ 39세,-,"초기창업자(5년이내), 예비창업자",-,-,"북구 관내 사업장 소재 청년 초기창업자(5년이내), 예비창업자",null,null,접수방법 : 청년센터 홈페이지 온라인신청<공지사항>,"참여신청서, 사업계획서, 사업자등록증, 창업공간 사진 등",최종선정결과 발표 : 7월12일(금),https://bukgu.gwangju.kr/youth/,null,null,북구 청년미래정책관,null,null,북구청년센터,null,null,"□ 문의처
❍ 북구청년센터 T.410-8262~3 / 카카오톡 채널 @광주북구청년센터 
❍ 북구청년미래정책관(청년센터) T.410-8240",023010
2,R2024070424688,003002005,지자체,청년 (예비)창업가 거주시설 지원,청년 예비창업가 및 초기창업자에게 사무와 주거가 한 곳에서 가능한 임대 주택을 저렴하게 제공하여 주거 안정 및 창업기업 성장을 지원,"□ 위치 : 북구 저불로 73번길 22-3(용봉동)
□ 지원공간
❍ 사무실 겸 주택 7호(2인실 2호, 3인실 5호), 세대당 전용면적 53~61㎡
❍ 부대시설 : 공용시설 2호(회의실, 휴게실), 옥상텃밭
□ 임대료 : 보증금 420만원 내외, 월 임대료 35만원 내외
□ 입주기간 : 2년(심사를 거쳐 1회 연장 가능, 최장 4년)",null,null,002001,공실 발생시 모집,만 0세 ~ 39세,-,초기창업자(3년 이내) 또는 예비창업자,-,-,"□ 거주지 : 광주 거주 
□ 연령 : 39세 이하 
□ 대상 : 초기창업자(3년 이내) 또는 예비창업자
□ 주거 : 무주택세대구성원
□ 소득 : 전년도 도시근로자 가구당 월평균소득의 70%이하",null,null,"공실 발생시 I-PLEX광주 홈페이지(www.iplexgj.com), (재)광주테크노파크 홈페이지 (www.gjtp.or.kr)에 모집 공고",입주신청서 및 사업계획서 등,null,null,https://www.iplexgj.com,https://www.gjtp.or.kr,광주광역시 창업진흥과,null,null,(재)광주테크노파크,null,null,"□ 문의처
❍ (재)광주테크노파크 기업지원단 I-PLEX센터(전담기관) T. 062-239-9613~5
❍ I-PLEX광주 홈페이지 www.iplexgj.com, (재)광주테크노파크 홈페이지 www.gjtp.or.kr",023010
3,R2024070424687,003002012012,지자체,2024년 하반기 순창군 행정인턴사업 참여자 모집 안내,대학생 및 청년에게 다양한 사회경험 등 진로탐색의 기회를 제공하기 위해 「2024년 하반기 순창군 행정인턴 사업」참여자를 아래와 같이 모집,"군청 및 사업소, 읍․면 행정복지센터에서 직무경험을 할 수 있도록 하고, 1일 78,880원/8시간(시급 9,860원) 지급",24명,-,002004,"2024-07-03~2024-07-11
2024-07-03(수) ~ 2024-07-11(목)",만 19세 ~ 34세,-,-,-,-,"□ 공통 : 공고일 현재 순창군에 주민등록이 되어 있는 대학생(휴학생) 또는「청년기본법」상 19세 이상 34세 이하 청년 (1990.6.28.~ 2005.6.28.출생자)
□ 우선선발 : 기초생활수급자, 차상위계층, 한부모가족보호대상자/원거리근무지",-,행정인턴 기참여자,"방문 또는 우편, E-mail 접수(접수장소 : 전북 순창군 순창읍 경천로 33, 순창군청 1층 행정과 인재평생교육팀)","□ (공통서류) 신청서, 개인정보제공 동의서, 주민등록초본 각 1부.
□ (해당자) 기초생활수급자증명서·차상위계층 증명서·한부모가족증명서","□ 일  자 : 2024. 7. 16.(화)
□ 방  법 : 홈페이지 공고 및 개별(문자) 통보",-,-,-,순창군,-,063-650-1236,순창군,-,063-650-1236,-,023010
4,R2024070424686,003002005,지자체,2024년 광주광역시 청년창업 특례보증,아이디어와 기술력은 있으나 자금과 담보력이 부족한 지역 내 청년창업가를 대상으로 최대 5천만원 이내의 특례보증을 지원,"□ 대출한도 : 업체당 최대 50백만원 이내
□ 보증기간 : 1년 / 5년
□ 상환방식 : 1년 일시상환 / 1년 거치 4년 원금균등분할상환(매월)
□ 보증료율 : 연 0.5%
□ 취급금융기관 : 광주은행, NH농협은행, KB국민은행, 신한은행, 우리은행, 하나은행, IBK기업은행
□ 특이사항 : 광주광역시에서 1년차 3% 이차보전",200억원,null,002004,"2024-03-11~2024-12-31
2024. 3. 11. ~ 예산 소진 시까지",만 0세 ~ 39세,-,사업자등록 후 가동(영업) 중인 업력 7년 이하의 소기업·소상공인,-,-,"광주광역시 소재 사업장으로 현재 사업자등록 후 가동(영업)중인 만 39세 이하, 개인 신용평점 355점 이상, 업력 7년 이하인 소기업·소상공인",null,"- 대표자 개인신용평점 354점 이하인 기업
- 재단 제규정상 재보증제한 기업
- 만 40세 이상
- 업력 8년 이상",광주신용보증재단 신청,null,"① 신용보증상담, 관련 서류 접수
② 신용상태 조사 및 심사(사업장 현장조사)
③ 신용보증 결정 여부 통보(→ 신청기업)
④ 여신심사 및 대출(보증서 담보 대출금 지급)",https://www.gjsinbo.or.kr/?d=guarantee_product3_01,https://www.gjsinbo.or.kr/?d=guarantee_product3_01,null,광주광역시 창업진흥과,null,null,광주신용보증재단,null,null,"문의처
- 광주신용보증재단(062-950-0000, www.gjsinbo.or.kr)",023010
5,R2024070424703,003002005003,지자체,구직청년 면접용 정장 대여,면접용 정장 무료 대여,"□ 면접용 정장 무료 대여
❍ 대여항목 : 재킷, 셔츠, 바지, 넥타이 블라우스, 치마 등
❍ 전문 디자이너가 코디, 기장 수선 등 맞춤형 서비스 제공
□ 제공업체 : 다나베 비스포크
❍ 화요일은 매장 운영하지 않음
□ 대여 기간 : 3박 4일 / 1회
□ 대여 횟수 : 연 3회",-,2024.01.01.~2024.12.31.,002004,"2024-07-04~2024-12-20
12월 20일까지 서비스 제공",만 19세 ~ 45세,-,청년 구직자,-,-,광주광역시 남구에 주소를 둔 19~45세 청년 구직자,-,-,"□ 서비스 이용 전 남구청 일자리정책과 방문 또는 담당자 이메일(hee1187@korea.kr)로 신청서 등 증빙서류 제출
□ 예약 날짜에 매장(다나베 비스포크) 방문",-,-,-,-,-,광주광역시 남구청 일자리정책과,-,-,-,-,-,문의처 : 남구청 일자리정책과(062-607-2681),023010
6,R2024070424684,003002005,지자체,광주 청년 면접 정장 대여 서비스,"광주 지역 청년들이 취업 대비에 필요한 면접 정장대여, 이력서 사진 촬영 서비스를 무료로 제공","□ 청년구직자 면접 정장 무료 대여(1인당 연간 5회 한도 / 대여기간 최대 3박 4일 *휴일 미포함)
❍ 재킷, 바지, 스커트, 셔츠, 블라우스, 넥타이, 구두 등 정장일체(여름용 정장, 여성 바지 구비)
□ 이력서 사진 무료 촬영 서비스(1인당 연간 1회 한도 / 격주 수요일 오후 ＊사전 문의·예약 필수)
❍ 1:1 매칭 포토샵 수정, 현장 사진 인화 제공 등",null,null,002001,홈페이지 사전 예약 신청 후 이용,만 19세 ~ 39세,-,청년 구직자,-,-,null,null,null,"토닥토닥 청년일자리(JOB)카페 홈페이지 접속 후 사전 예약 신청
① 홈페이지 회원가입 및 서비스 이용 예약(신청서 제출)
- 토닥토닥 청년일자리(JOB)카페(www.todaktodakjob.com)
② 구비서류 제출 
- 주민등록등본, 신분증 사본, 면접증빙 서류 등
③ 면접정장 수령 또는 이력서 사진 촬영
- 토닥토닥 청년일자리(JOB)카페(광주 서구 상무중앙로 34)
④ 면접정장 반납 또는 촬영일 현장 방문
- 예약 승인 후 직접 방문 이용",null,null,https://www.todaktodakjob.com,null,null,광주광역시 청년정책관,null,062-613-2174,토닥토닥 청년일자리(JOB)카페,null,062-372-5990~3,"문의처
❍ 카카오톡 플러스친구 : 토닥토닥청년일자리카페
❍ 토닥토닥 청년일자리(job)카페 홈페이지 : https://www.todaktodakjob.com 
❍ 토닥토닥 청년일자리(JOB)카페 T. 062-372-5990~3",023010
7,R2024070424683,003002006,지자체,청년성장프로젝트,"미취업 청년의 구직단념을 사전 예방하고, 중소/중견기업 신입직원 직장적응 지원","(청년카페운영) 일상 및 구직의욕 유지를 지원하기 위한 맞춤형 프로그램 - (직장적응지원) 기업관리자, 신입직원 대상 청년친화 조직문화 교육
❚교육내용 - (청년카페운영) 대상별, 기관별 맞춤형 구직단념 예방 프로그램(20시간) 
*초기상담, 경력재설계, 취업역량강화, 네트워킹지원 등 - (직장적응지원) 청년친화 조직문화 조성(10시간) *협업 커뮤니케이션 스킬, 비즈니스 매너, 갑질 예방 등 
❚교육장소 : 7개소 거점 운영 - (청년카페운영) 대전일자리지원센터(중구선화동), 대전지식산업센터(동구대동), D-유니콘라운지(유성구도룡동), 청춘나들목(대전역), 청춘너나들이(서구 탄방동), 동구동락(동구 자양동) - (직장적응지원) 대전상공회의소(서구둔산동), D-유니콘라운지(유성구도룡동)",-,-,002001,-,제한없음,-,-,-,-,-,-,"- (청년카페운영) 만 15세~39세 미취업 청년 
- (직장적응지원) 지역 중소·중견기업 관리자(CEO, 인사담당자 등), 1년 이내 신입직원","고용24 ( www.work24.go.kr) 또는 대전청년포털 ＞ 청년활동 ＞ 청년성장프로젝트 신청 
❚문의 - (청년카페운영) 대전일자리지원센터(☏ 042-719-8335) 대전청년내일센터(☏ 070-7778-1149) 대전동구동락(☏ 070-4252-0909) - (직장적응지원) 대전상공회의소(☏ 042-480-3044)",-,-,https://youth-up.kr/growth,https://www.daejeonyouthportal.kr/content/CT_000000000371/cntPage.do?commonMenuNo=344_406,-,-,-,-,"대전일자리지원센터(☏ 042-719-8335), 대전청년내일센터(☏ 070-7778-1149), 대전동구동락(☏ 070-4252-0909), 대전상공회의소(☏ 042-480-3044)",-,-,-,023010
8,R2024070324667,003002001006,지자체,하반기 동대문구 동행일자리 사업 참여자 모집,취업취약계층을 대상으로 경제활동 기회 제공 및 생계지원 사업,경제활동 기회 제공 및 생계지원 사업,37명(14개 사업),2024. 8. 1. ~ 12. 20.,002004,"2024-06-27~2024-07-03
- 20024. 6. 27.(목) ~ 7. 5.(금) 09:00~18:00   [토・일요일 및 대체공휴일 제외]  
- 청년사업: 사업개시일 기준 만 18세 이상~만 39세 이하(1985.1.1. 이후 출생)인 자만 지원 가능",만 18세 ~ 39세,제한없음,실업자 또는 정기적인 소득이 없는 취업 취약계층,제한없음,제한없음,사업개시일 현재 18세 이상 근로능력이 있는 동대문구민,null,null,신청인 본인 주민등록지 동 주민센터(신분증 지참 방문접수),null,선발발표 : 2024. 7. 29. (월) 예정  ※ 선발자에 한해 사업부서 개별 통보,null,https://www.ddm.go.kr/www/selectBbsNttView.do?key=198&bbsNo=38&nttNo=151650,null,동대문구 일자리청년과,null,02-2127-4973,주관기관 동일,null,null,"동대문구 일자리청년과 ☎02-2127-4973(동행일자리사업)   

- 기타 사업에 관한 보다 자세한 사항은 첨부된 각 사업별 공고문을 반드시 확인하여 주시기 바랍니다.",023010
9,R2024070324665,003002001002,지자체,중구일자리플러스센터,"취업 희망 주민과 구인업체를 서로 연계하여, 기업에 맞는 맞춤형 인재를 알선하고 구민에게는 양질의 일자리를 제공해 주는 창구 사업",취업절차 : 지원서제출 ⇒ 지원서관리 ⇒ 기업연계 ⇒ 민간일자리 직접 연계,null,null,002001,상시모집,제한없음,제한없음,제한없음,제한없음,제한없음,null,null,null,"- 방문접수
- 온라인 접수
(홈페이지 바로가기 : https://job.seoul.go.kr/junggu)",null,null,https://job.seoul.go.kr/junggu,https://www.junggu.seoul.kr/content.do?cmsid=14196,null,서울시 중구,일자리경제과,02-3396-5682,주관기관 동일,null,null,null,023010
10,R2024070324663,003002001002,지자체,청년 소상공인을 위한 고민상담소,"""행복잇다 사회적협동조합""에서는 서울시민의 행복감 증진을 위한 심리상담 및 교육  등을 진행하고  ""청년 소상공인을 위한 심리교육"" 프로그램",청년 소상공인을 위한 심리교육,-,null,002004,"2024-06-21~2024-12-31
* 모집기간 :  2024.6.21.(금) ~ 상시모집",만 19세 ~ 34세,제한없음,청년 소상공인,제한없음,제한없음,19세이상 34세이하 청년사장님(사업자등록증 확인),null,null,"* 신청방법 : 서울심리지원 제4권역(중부)센터 홈페이지 및 포스터 QR 신청
- 첨부파일 필수 확인",null,null,* 신청방법 : 서울심리지원 제4권역(중부)센터 홈페이지 및 포스터 QR 신청,null,null,서울시 중구청,null,null,행복잇다 사회적협동조합,null,null,null,023030
