labels,name,theme,동영상 제목,댓글,댓글 작성일,PRO
0,검은사막,무소속,[검은사막] 뉴비/초보자를 위한 장비 강화 가이드 (검은사막 투발라를 졸업하셨다면 이 강화 영상을 보세요!!!),형님  솔직히  새해에는  마이크하나  삽시다 좋은걸로,2023-01-20T09:16:10Z,형님  솔직히  새해에는  마이크하나  삽시다 좋은걸로
0,메이플,사운드,무자본도 가능! 메이플 크리티컬 데미지 30% 증가 필수! 【메이플스토리 크리티컬 데미지 올리는법】,뭐지 눈은.메이플을 보고있는데귀는 바람의나라 노래를 듣고있는거 같음,2021-01-27T18:08:58Z,뭐지 눈은 메이플을 보고있는데 귀는 바람의나라 노래를 듣고있는거 같음
0,배틀그라운드,BM,떱배 환불해달라 한 분들 다 들어와 보이소.. l 배그홈쇼핑,단점:두발이 없는사람은 못쏩니다,2021-08-05T08:53:39Z,단점 두발이 없는사람은 못쏩니다
0,검은사막,사운드,검은사막 샤이 연주회 - 21곡 풀버전 [음악감상],요새 영상 왜 안올라와욧!!,2023-03-04T18:32:27Z,요새 영상 왜 안올라와욧  
0,메이플,그래픽,쿨감 ⌛6초⌛ 모자 가져왔습니다!!!! 17초마다 극딜박는 미친캐릭이 된 부캐불독;; [메이플스토리/명훈],쿨쿨쿨 저격 8초뚝 가즈아~,2023-01-15T20:50:33Z,쿨쿨쿨 저격 8초뚝 가즈아 
0,검은사막,무소속,격투가 PvE 콤보 l 검은사막,기술심화는 어찌되나요 ㅜ,2023-01-25T14:13:46Z,기술심화는 어찌되나요 
0,로스트아크,조작,[로스트아크] 직업 선택을 잘해야 하는 이유 ㅋㅋㅋ,로아 직업은 1순위가 애정인데 애정으로는 감당어려운 직업들이 몇개 있는듯,2023-05-19T00:05:42Z,로아 직업은 1순위가 애정인데 애정으로는 감당어려운 직업들이 몇개 있는듯
0,로스트아크,그래픽,[로아]다배럭의 삶 : 6종6수 9캐릭 카드작,이정도면......... 광기 아닌가요 ????,2022-01-16T18:00:20Z,이정도면          광기 아닌가요     
0,로스트아크,운영,[로스트아크] 2023년 10월 25일 업데이트 내역 살펴보기,보상 진짜 너무 구림,2023-10-26T15:32:28Z,보상 진짜 너무 구림
0,배틀그라운드,조작,현재 배그에서 필드 드랍 1티어 총기,베릴 말해 뭐해요 그냥 샤르륵 녹죠ㅎㅎㅎㅎㅎ 반동만 잘 잡는다면 정말 포기 못하는 총이죠~,2023-04-19T18:18:48Z,베릴 말해 뭐해요 그냥 샤르륵 녹죠ㅎㅎㅎㅎㅎ 반동만 잘 잡는다면 정말 포기 못하는 총이죠 
0,배틀그라운드,그래픽,레드도트가 짱이네요 [15배율 + AWM] (솔로) | 배틀그라운드 군림보,핵좀작작써;;요즘더뚱뚱핵으로진화해가고있어;몸무게도더늘고...(크흠),2018-02-10T23:56:35Z,핵좀작작써  요즘더뚱뚱핵으로진화해가고있어 몸무게도더늘고    크흠 
0,배틀그라운드,그래픽,배그 프레임 잘나오는 설정~ ( 안보면 개손해 !! ),프레임 400이상 나오는게 의미가 있나요???모니터가표현해주는 영역이 안될꺼 같긴한데요 ㅎㅎ,2023-09-14T01:04:51Z,프레임 400이상 나오는게 의미가 있나요   모니터가표현해주는 영역이 안될꺼 같긴한데요 ㅎㅎ
0,메이플,조작,6차보고 직업 정하자!! 6차 스킬 이펙트 월드컵 ㄷㄷ,제로 진짜 시계랑 거울 깨지는 연출 지렸음 볼때마다 몇번을 돌려봤는지.. 소름 돋음 ㄷㄷ 그래도 제로는 못키우겠어,2023-09-02T18:55:31Z,제로 진짜 시계랑 거울 깨지는 연출 지렸음 볼때마다 몇번을 돌려봤는지    소름 돋음 ㄷㄷ 그래도 제로는 못키우겠어
0,배틀그라운드,운영,"[SUB] 패치노트#29 요점정리 - 비켄디 리밸런스,  서바이버 패스3 종료, 전술 맵 마커 등 (PUBG Patch Note #28) | 배틀그라운드",우리미라마살려내라,2019-05-27T15:15:31Z,우 리 미 라 마 살 려 내 라
0,리니지,BM,리니지 2M 직업추천 6가지만 알면 완벽하다!,리니지에대한 지식없는사람인데 그냥 휴먼탱커을 하는게좋겠죠??,2019-11-26T05:26:32Z,리니지에대한 지식없는사람인데 그냥 휴먼탱커을 하는게좋겠죠  
0,메이플,그래픽,[메이플] 유니온 육성 Tip 모든 걸 담았습니다! 200레벨 이하 사냥터 총정리 / 유니온 키우시는 분들 필수 시청!!,"하버로 263 가엔슬돌이 본캐 만들었는데도 캐릭당 2,3억은 진짜 부담스러운 게 맞음",2023-08-27T20:38:14Z,하버로 263 가엔슬돌이 본캐 만들었는데도 캐릭당 2 3억은 진짜 부담스러운 게 맞음
0,제2의나라,BM,[제2의나라] 파트너 크리에이터 됐습니다. 의상공개! 파트너 달고 뽑기했을때 확률은!? (이마젠뽑기),파트너크리에이트 로서 가 옳은 표기법입니다,2021-07-31T09:34:55Z,파트너크리에이트 로서 가 옳은 표기법입니다
0,리니지,BM,리니지M 무과금 레벨업 가이드! (6검4셋전 초보용),정보감사합ㄴ다!!! 무과금으로 시작하는데 완전 초보 정보 정말 좋아요~~,2020-06-06T16:21:25Z,정보감사합ㄴ다    무과금으로 시작하는데 완전 초보 정보 정말 좋아요  
0,검은사막,무소속,[펄어비스 X 블리츠웨이] 검은사막 다크나이트 피규어 최초 공개!!｜검은사막 모바일 Black Desert Mobile｜,내돈 가져가 빨리!,2021-06-20T07:48:48Z,내돈 가져가 빨리 
0,리니지,BM,심하다 말로만 들었지? 이게 바로 엔씨급 과금유도 클라쓰 (리니지2M 숙련도 part.1),몇년이 지난 린투엠은 숙련도는 애교였던거다,2022-12-15T22:37:33Z,몇년이 지난 린투엠은 숙련도는 애교였던거다
0,리니지,사운드,1시간연속재생 리니지OST - 영원 (Eternally) 리니지W 쇼케이스 기타버전,2년전에 이 기타선율에 홀릭 되었는데 2년지난 이시간에도 똑같은 감정으로 빠고 드네요..,2023-10-23T06:32:14Z,2년전에 이 기타선율에 홀릭 되었는데 2년지난 이시간에도 똑같은 감정으로 빠고 드네요  
0,메이플,그래픽,[메이플스토리M] 신규 캐릭터 「미하일」 (Full ver.),미하일은 컴메 보상없네ㅠ,2023-10-20T14:41:50Z,미하일은 컴메 보상없네
