labels,동영상 제목,댓글,댓글 작성일,PRO
0,휘재가 추천하는 PC MMORPG TOP 10 / 메난민 필독 영상,이야 오랜만에 이영상을다시보니 휘재는 섭종예언자인가 ???????????,2023-02-26T12:26:21Z,이야 오랜만에 이영상을다시보니 휘재는 섭종예언자인가            
0,훈민정음을 스킬로 사용하는 국산 게임! 검은사막 아침의 나라 & 각성 우사 리뷰,이쁜쓰레기 각성우사 ㅠㅠ,2023-06-10T18:09:59Z,이쁜쓰레기 각성우사 ㅠㅠ
0,효율적인 과금,그렇게 먼 미래에 마누라는 25강 장기백을 사달라고 하게되는데...,2023-06-05T18:01:09Z,그렇게 먼 미래에 마누라는 25강 장기백을 사달라고 하게되는데   
0,환상이 이루어지는 나라로 당신을 초대합니다. 제2의 나라: Cross Worlds,USZW8L,2021-06-09T18:51:34Z,USZW8L
0,환상이 이루어지는 나라로 당신을 초대합니다. 제2의 나라: Cross Worlds,MMRPRM 친구코드 부탁드려요☺️,2021-06-09T03:02:21Z,MMRPRM 친구코드 부탁드려요  
0,환상마 어떤거 골라야 할지 알려줄게!!! - 검은사막,아디오스~!,2023-07-04T15:57:57Z,아디오스  
0,화력강화 블래스터 밸런스 패치 요약정리  [로스트아크],미폭 치적 트라이포드는 화강용이 아니라 포격용임.,2023-10-17T06:05:39Z,미폭 치적 트라이포드는 화강용이 아니라 포격용임 
0,"혼자서 12가지 악기로 연주한 ""바람의 나라 OST - 부여성 BGM""","헤드셋 뭔지 궁금해요.
바람의 나라 음악 들으니 추억때문에 눈물나네요.
차에서 출퇴근길에 이 음악 자주 듣습니다.
마음을 진정시켜주는 마법의 노래^^",2022-05-05T17:18:16Z,헤드셋 뭔지 궁금해요  바람의 나라 음악 들으니 추억때문에 눈물나네요  차에서 출퇴근길에 이 음악 자주 듣습니다  마음을 진정시켜주는 마법의 노래  
0,"혼자 외롭게 빅뱅전 메이플을 하는 메린이를 발견했습니다 ㅋㅋㅋㅋ 이럴수가... [팡이요,  메이플스토리]",컨셉이거나 컴맹이거나😢,2023-08-20T18:52:40Z,컨셉이거나 컴맹이거나 
0,호상유발자 ㅋㅋㅋ #SNL코리아 리부트 시즌3 채수빈,길어 길어 ㅋㅋㅋㅋㅋㅋㅋ,2023-05-06T03:39:25Z,길어 길어 ㅋㅋㅋㅋㅋㅋㅋ
0,현질하면 강해지는 심각한 배틀그라운드 근황,"게임이 스포츠가 될수없는이유죠      정당한률이 있어야하는데 돈으로 한다면 사회적 배반인데 그런것 아니라고 배웠는데   이런풍조가 사회를 너무 혼탁하게 만듭니다. 
리니지소프트회사가 대표죠 정말 미래를 죽이고 있어요",2023-10-25T05:38:37Z,게임이 스포츠가 될수없는이유죠      정당한률이 있어야하는데 돈으로 한다면 사회적 배반인데 그런것 아니라고 배웠는데   이런풍조가 사회를 너무 혼탁하게 만듭니다   리니지소프트회사가 대표죠 정말 미래를 죽이고 있어요
0,현질이 너무 즐거운 게임 ㅋㅋ,"적응을 잘하는 새 종류 중
대머리독수리가 있다.",2023-07-19T04:53:43Z,적응을 잘하는 새 종류 중 대머리독수리가 있다 
