labels,name,theme,동영상 제목,댓글,댓글 작성일,PRO
0,검은사막,게임성,"릴카 피파 하축단 마지막+검은사막 아토락시온 레이드(feat.서새봄,노돌리,소풍왔니,매드라이프)",오늘 영상도 재밌게 시청하겠습니다:),2023-07-30T23:56:32Z,오늘 영상도 재밌게 시청하겠습니다  
0,검은사막,게임성,"릴카 피파 하축단 마지막+검은사막 아토락시온 레이드(feat.서새봄,노돌리,소풍왔니,매드라이프)",오 아침 업로드 귀하다,2023-07-30T22:10:42Z,오 아침 업로드 귀하다
0,리니지,BM,[리니지M] 갑자기 생각도 못한 이벤트를 하네? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뭐야 이거 (9월 4주차 추석 업데이트 이벤트 총정리),4개 계정으로 모두 추천했어요 에디션 당첨되시길 ^^,2023-09-27T14:15:45Z,4개 계정으로 모두 추천했어요 에디션 당첨되시길   
0,제2의나라,BM,"[제2의 나라] 히사이시 조, 제2의 나라를 지휘하다_30s",BHXTHB 추천부탁드립니다 10연뽑기 가져다 드리겠습니다,2021-05-28T11:46:22Z,BHXTHB 추천부탁드립니다 10연뽑기 가져다 드리겠습니다
0,제2의나라,BM,[제2의 나라] 코엑스에 거대 고양이 '우다닥'이 나타났다?!,BHXTHB 추천부탁드립니다 10연뽑기 가져다 드리겠습니다ㅎㅎ,2021-05-28T17:23:05Z,BHXTHB 추천부탁드립니다 10연뽑기 가져다 드리겠습니다ㅎㅎ
0,제2의나라,BM,"제2의나라..아놔, 믿기지가 않네ㅋㅋㅋㅋ",K양산냄새 때고 스토리를 즐기고 싶으면 콘솔은 니노쿠니 시리즈 추천합니다.,2021-06-13T16:01:38Z,K양산냄새 때고 스토리를 즐기고 싶으면 콘솔은 니노쿠니 시리즈 추천합니다 
0,제2의나라,BM,"[제2의 나라：Cross Worlds] Disc 2 - 히사이시 조 「To Arms!」, 「Blithe」",LYU8N6 추천인 부탁드려용!!!,2021-05-31T17:57:23Z,LYU8N6 추천인 부탁드려용   
0,제2의나라,BM,오픈 D-1! 시작 전에 필수로 봐야할 『5가지 직업』 완벽 정리! (Feat. 직업 추천) [제2의 나라: CROSS WORLDS],NHUNZY추천해주시고 같이 상품 받아요!!,2021-06-10T00:09:26Z,NHUNZY추천해주시고 같이 상품 받아요  
0,리니지,그래픽,리니지W 퍼플 다계정 구동 모바일 컴퓨터 사양을 알려드릴게요ㅣ50만원대부터!!,12세대  i5 12400f+ 1030 <ASUS 0c GDD5 2GB 그래픽이면 몇계정 돌아가나요?,2022-01-29T03:13:09Z,12세대  i5 12400f  1030  ASUS 0c GDD5 2GB 그래픽이면 몇계정 돌아가나요 
0,제2의나라,BM,[넷마블] 니노쿠니를 모바일로 계승하다 🎮제2의나라 사전예약시작🎮 +캐릭터 정보+컨텐츠 정보,PTKXLD 추천인,2021-04-23T04:21:52Z,PTKXLD 추천인
